text,clean_text,sentiment
"Produk ini sangat bagus, saya sangat puas dengan kualitasnya",produk ini sangat bagus saya sangat puas dengan kualitasnya,positive
"Pelayanan toko ini luar biasa, cepat dan ramah",pelayanan toko ini luar biasa cepat dan ramah,positive
"Barang sesuai deskripsi, pengiriman cepat",barang sesuai deskripsi pengiriman cepat,positive
Sangat merekomendasikan produk ini kepada semua orang,sangat merekomendasikan produk ini kepada semua orang,positive
Kualitas terbaik yang pernah saya beli online,kualitas terbaik yang pernah saya beli online,positive
"Packaging rapi dan aman, barang sampai dengan selamat",packaging rapi dan aman barang sampai dengan selamat,positive
"Warna sesuai gambar, bahan juga bagus",warna sesuai gambar bahan juga bagus,positive
Harga terjangkau tapi kualitas tidak murahan,harga terjangkau tapi kualitas tidak murahan,positive
Seller sangat responsif dan membantu,seller sangat responsif dan membantu,positive
"Pengiriman super cepat, baru pesan besoknya sudah sampai",pengiriman super cepat baru pesan besoknya sudah sampai,positive
"Produknya awet, sudah dipakai berbulan-bulan masih bagus",produknya awet sudah dipakai berbulanbulan masih bagus,positive
"Puas banget belanja di sini, pasti repeat order",puas banget belanja di sini pasti repeat order,positive
Barang original dan berkualitas tinggi,barang original dan berkualitas tinggi,positive
"Terima kasih seller, barangnya keren banget",terima kasih seller barangnya keren banget,positive
"Desainnya cantik dan elegan, suka banget",desainnya cantik dan elegan suka banget,positive
Fungsi semua normal tidak ada masalah,fungsi semua normal tidak ada masalah,positive
"Ini pembelian kedua saya, tetap puas",ini pembelian kedua saya tetap puas,positive
Rekomended banget buat yang cari barang berkualitas,rekomended banget buat yang cari barang berkualitas,positive
Ukuran pas dan nyaman dipakai,ukuran pas dan nyaman dipakai,positive
"Value for money, worth it banget",value for money worth it banget,positive
Bahan adem dan nyaman dipakai seharian,bahan adem dan nyaman dipakai seharian,positive
Pengiriman cepat dan packing sangat aman,pengiriman cepat dan packing sangat aman,positive
"Barangnya bagus, tidak mengecewakan",barangnya bagus tidak mengecewakan,positive
Saya senang dengan pembelian ini,saya senang dengan pembelian ini,positive
Produk berkualitas dengan harga yang wajar,produk berkualitas dengan harga yang wajar,positive
Pelayanan pelanggan sangat memuaskan,pelayanan pelanggan sangat memuaskan,positive
Barang sampai tepat waktu dan sesuai pesanan,barang sampai tepat waktu dan sesuai pesanan,positive
Kualitasnya di atas ekspektasi saya,kualitasnya di atas ekspektasi saya,positive
"Toko terpercaya, barang selalu ready stock",toko terpercaya barang selalu ready stock,positive
"Ini toko langganan saya, selalu puas",ini toko langganan saya selalu puas,positive
"Sangat puas dengan hasilnya, recommended",sangat puas dengan hasilnya recommended,positive
"Barang sesuai foto, tidak ada yang cacat",barang sesuai foto tidak ada yang cacat,positive
Proses cepat dari pemesanan sampai pengiriman,proses cepat dari pemesanan sampai pengiriman,positive
"Seller amanah, barang dikirim sesuai pesanan",seller amanah barang dikirim sesuai pesanan,positive
Kualitas premium dengan harga bersahabat,kualitas premium dengan harga bersahabat,positive
