text,clean_text,sentiment
"Produk ini sangat bagus, saya sangat puas dengan kualitasnya",produk sangat bagus sangat puas kualitas,positive
"Pelayanan toko ini luar biasa, cepat dan ramah",layan toko luar biasa cepat ramah,positive
"Barang sesuai deskripsi, pengiriman cepat",barang sesuai deskripsi kirim cepat,positive
Sangat merekomendasikan produk ini kepada semua orang,sangat rekomendasi produk kepada semua orang,positive
Kualitas terbaik yang pernah saya beli online,kualitas baik pernah beli online,positive
"Packaging rapi dan aman, barang sampai dengan selamat",packaging rapi aman barang dengan selamat,positive
"Warna sesuai gambar, bahan juga bagus",warna sesuai gambar bahan bagus,positive
Harga terjangkau tapi kualitas tidak murahan,harga jangkau kualitas murah,positive
Seller sangat responsif dan membantu,seller sangat responsif bantu,positive
"Pengiriman super cepat, baru pesan besoknya sudah sampai",kirim super cepat baru pesan besok sampai,positive
"Produknya awet, sudah dipakai berbulan-bulan masih bagus",produk awet pakai berbulanbulan bagus,positive
"Puas banget belanja di sini, pasti repeat order",puas sangat belanja sini repeat order,positive
Barang original dan berkualitas tinggi,barang original kualitas tinggi,positive
"Terima kasih seller, barangnya keren banget",terima kasih seller barang keren sangat,positive
"Desainnya cantik dan elegan, suka banget",desain cantik elegan suka sangat,positive
Fungsi semua normal tidak ada masalah,fungsi semua normal ada masalah,positive
"Ini pembelian kedua saya, tetap puas",beli dua tetap puas,positive
Rekomended banget buat yang cari barang berkualitas,rekomended sangat buat cari barang kualitas,positive
Ukuran pas dan nyaman dipakai,ukur pas nyaman pakai,positive
"Value for money, worth it banget",value for money worth it sangat,positive
Bahan adem dan nyaman dipakai seharian,bahan adem nyaman pakai hari,positive
Pengiriman cepat dan packing sangat aman,kirim cepat packing sangat aman,positive
"Barangnya bagus, tidak mengecewakan",barang bagus kecewa,positive
Saya senang dengan pembelian ini,senang beli,positive
Produk berkualitas dengan harga yang wajar,produk kualitas harga wajar,positive
Pelayanan pelanggan sangat memuaskan,layan langgan sangat muas,positive
Barang sampai tepat waktu dan sesuai pesanan,barang tepat waktu sesuai pesan,positive
Kualitasnya di atas ekspektasi saya,kualitas atas ekspektasi,positive
"Toko terpercaya, barang selalu ready stock",toko percaya barang selalu ready stock,positive
"Ini toko langganan saya, selalu puas",toko langgan selalu puas,positive
"Sangat puas dengan hasilnya, recommended",sangat puas hasil recommended,positive
"Barang sesuai foto, tidak ada yang cacat",barang sesuai foto ada cacat,positive
Proses cepat dari pemesanan sampai pengiriman,proses cepat mesan kirim,positive
"Seller amanah, barang dikirim sesuai pesanan",seller amanah barang kirim sesuai pesan,positive
Kualitas premium dengan harga bersahabat,kualitas premium harga sahabat,positive
"Bagus banget, teman-teman saya juga mau pesan",bagus sangat temanteman juga mau pesan,positive
"Puas belanja di sini, pelayanannya top",puas belanja sini layan top,positive
Barangnya bagus dan tahan lama,barang bagus tahan lama,positive
Produk ini melebihi ekspektasi saya,produk lebih ekspektasi,positive
Selalu puas belanja di toko ini,selalu puas belanja toko,positive
"Pengiriman sangat cepat, packing rapi sekali",kirim sangat cepat packing rapi sekali,positive
Barangnya original dan berkualitas,barang original kualitas,positive
Tidak menyesal beli produk ini,sesal beli produk,positive
Sangat recommended untuk harga segitu,sangat recommended harga segitu,positive
"Kualitasnya juara, sudah coba beberapa kali",kualitas juara coba beberapa kali,positive
"Barang berfungsi dengan baik, tidak ada kendala",barang fungsi baik ada kendala,positive
Pelayanan ramah dan profesional,layan ramah profesional,positive
Pengalaman belanja yang menyenangkan,alam belanja senang,positive
Produk terbaik di kelasnya,produk baik kelas,positive
Saya sangat merekomendasikan toko ini,sangat rekomendasi toko,positive
Barang rusak dan tidak bisa dipakai sama sekali,barang rusak tidak NOT_pakai NOT_sama sekali,negative
"Pelayanan sangat buruk, tidak ada respon dari seller",layan sangat buruk ada respon seller,negative
"Barang tidak sesuai dengan gambar, mengecewakan",barang sesuai gambar kecewa,negative
"Pengiriman sangat lama, sudah dua minggu belum sampai",kirim sangat lama dua minggu sampai,negative
"Kualitas sangat rendah, tidak worth it",kualitas sangat rendah worth it,negative
"Barang yang dikirim salah, dan seller tidak mau ganti",barang kirim salah seller mau ganti,negative
"Packing sangat buruk, barang sampai dalam kondisi rusak",packing sangat buruk barang dalam kondisi rusak,negative
Uang saya tidak dikembalikan padahal barang tidak sampai,uang kembali padahal barang tidak NOT_sampai,negative
Sangat tidak puas dengan produk ini,sangat puas produk,negative
"Penipuan, barang tidak sesuai deskripsi",tipu barang sesuai deskripsi,negative
"Barang cepat rusak, baru dipakai sekali sudah rusak",barang cepat rusak baru pakai sekali rusak,negative
"Seller tidak amanah, pesanan tidak pernah dikirim",seller amanah pesan pernah kirim,negative
Toko ini tidak bisa dipercaya,toko tidak NOT_percaya,negative
"Kualitasnya sangat jelek, buang-buang uang",kualitas sangat jelek buangbuang uang,negative
Pengiriman lambat dan barang tidak lengkap,kirim lambat barang lengkap,negative
Barang cacat dan seller tidak mau bertanggung jawab,barang cacat seller mau tanggung jawab,negative
Sangat kecewa dengan pembelian ini,sangat kecewa beli,negative
"Tidak sesuai ekspektasi, kualitas di bawah standar",sesuai ekspektasi kualitas bawah standar,negative
