text,sentiment
"Produk ini sangat bagus, saya sangat puas dengan kualitasnya",positive
"Pelayanan toko ini luar biasa, cepat dan ramah",positive
"Barang sesuai deskripsi, pengiriman cepat",positive
"Sangat merekomendasikan produk ini kepada semua orang",positive
"Kualitas terbaik yang pernah saya beli online",positive
"Packaging rapi dan aman, barang sampai dengan selamat",positive
"Warna sesuai gambar, bahan juga bagus",positive
"Harga terjangkau tapi kualitas tidak murahan",positive
"Seller sangat responsif dan membantu",positive
"Pengiriman super cepat, baru pesan besoknya sudah sampai",positive
"Produknya awet, sudah dipakai berbulan-bulan masih bagus",positive
"Puas banget belanja di sini, pasti repeat order",positive
"Barang original dan berkualitas tinggi",positive
"Terima kasih seller, barangnya keren banget",positive
"Desainnya cantik dan elegan, suka banget",positive
"Fungsi semua normal tidak ada masalah",positive
"Ini pembelian kedua saya, tetap puas",positive
"Rekomended banget buat yang cari barang berkualitas",positive
"Ukuran pas dan nyaman dipakai",positive
"Value for money, worth it banget",positive
"Bahan adem dan nyaman dipakai seharian",positive
"Pengiriman cepat dan packing sangat aman",positive
"Barangnya bagus, tidak mengecewakan",positive
"Saya senang dengan pembelian ini",positive
"Produk berkualitas dengan harga yang wajar",positive
"Pelayanan pelanggan sangat memuaskan",positive
"Barang sampai tepat waktu dan sesuai pesanan",positive
"Kualitasnya di atas ekspektasi saya",positive
"Toko terpercaya, barang selalu ready stock",positive
"Ini toko langganan saya, selalu puas",positive
"Sangat puas dengan hasilnya, recommended",positive
"Barang sesuai foto, tidak ada yang cacat",positive
"Proses cepat dari pemesanan sampai pengiriman",positive
"Seller amanah, barang dikirim sesuai pesanan",positive
"Kualitas premium dengan harga bersahabat",positive
"Bagus banget, teman-teman saya juga mau pesan",positive
"Puas belanja di sini, pelayanannya top",positive
"Barangnya bagus dan tahan lama",positive
"Produk ini melebihi ekspektasi saya",positive
"Selalu puas belanja di toko ini",positive
"Pengiriman sangat cepat, packing rapi sekali",positive
"Barangnya original dan berkualitas",positive
"Tidak menyesal beli produk ini",positive
"Sangat recommended untuk harga segitu",positive
"Kualitasnya juara, sudah coba beberapa kali",positive
"Barang berfungsi dengan baik, tidak ada kendala",positive
"Pelayanan ramah dan profesional",positive
"Pengalaman belanja yang menyenangkan",positive
"Produk terbaik di kelasnya",positive
"Saya sangat merekomendasikan toko ini",positive
"Barang rusak dan tidak bisa dipakai sama sekali",negative
"Pelayanan sangat buruk, tidak ada respon dari seller",negative
"Barang tidak sesuai dengan gambar, mengecewakan",negative
"Pengiriman sangat lama, sudah dua minggu belum sampai",negative
"Kualitas sangat rendah, tidak worth it",negative
"Barang yang dikirim salah, dan seller tidak mau ganti",negative
"Packing sangat buruk, barang sampai dalam kondisi rusak",negative
"Uang saya tidak dikembalikan padahal barang tidak sampai",negative
"Sangat tidak puas dengan produk ini",negative
"Penipuan, barang tidak sesuai deskripsi",negative
"Barang cepat rusak, baru dipakai sekali sudah rusak",negative
"Seller tidak amanah, pesanan tidak pernah dikirim",negative
"Toko ini tidak bisa dipercaya",negative
"Kualitasnya sangat jelek, buang-buang uang",negative
"Pengiriman lambat dan barang tidak lengkap",negative
"Barang cacat dan seller tidak mau bertanggung jawab",negative
"Sangat kecewa dengan pembelian ini",negative
"Tidak sesuai ekspektasi, kualitas di bawah standar",negative
"Barang palsu, bukan original seperti yang dijanjikan",negative
"Pelayanan buruk, chat tidak pernah dibalas",negative
"Packing asal-asalan, barang pecah saat sampai",negative
"Warna tidak sesuai pesanan, sangat kecewa",negative
"Sudah bayar mahal tapi kualitasnya mengecewakan",negative
"Barang hilang dalam pengiriman, tidak ada solusi",negative
"Toko tidak profesional, banyak masalah",negative
"Produk ini tidak berfungsi sama sekali",negative
"Sangat tidak recommended, banyak masalah",negative
"Pengiriman delay berkali-kali tanpa kabar",negative
"Barang datang dalam kondisi yang sangat buruk",negative
"Saya minta refund tapi tidak diproses",negative
"Kualitas bahan sangat tipis dan mudah sobek",negative
"Ukuran tidak sesuai, terlalu kecil dari deskripsi",negative
"Barang tidak original, merasa tertipu",negative
"Seller kabur setelah terima pembayaran",negative
"Kecewa berat, produk tidak bisa dipakai",negative
"Pelayanan after sales sangat buruk",negative
"Barang tidak sampai tapi status sudah diterima",negative
"Tidak akan pernah beli di toko ini lagi",negative
"Produk ini sampah, tidak ada gunanya",negative
"Kualitas sangat rendah, cepat rusak",negative
"Penjual tidak jujur, deskripsi bohong",negative
"Barang yang datang berbeda jauh dari foto",negative
"Pengiriman sangat mengecewakan, lama sekali",negative
"Sangat menyesal sudah beli di sini",negative
"Komplain tidak ditanggapi, seller cuek",negative
"Barang tidak lengkap, ada bagian yang hilang",negative
"Kualitas menurun drastis dari pembelian sebelumnya",negative
"Tidak worth it untuk harganya",negative
"Pengalaman belanja terburuk saya",negative
"Produk rusak setelah beberapa hari pemakaian",negative
"Seller tidak kooperatif sama sekali",negative
"Barang tidak sesuai spesifikasi yang dijanjikan",negative
"Rugi beli di sini, banyak masalah",negative
"Sangat tidak puas, tidak sesuai ekspektasi",negative
"Produk ini biasa saja, tidak ada yang spesial",neutral
"Barang sudah sampai, sesuai dengan harga",neutral
"Pengiriman standar, tidak terlalu cepat atau lambat",neutral
"Kualitas lumayan untuk harga segini",neutral
"Produk ini cukup oke untuk penggunaan sehari-hari",neutral
"Barang sesuai pesanan, nothing special",neutral
"Seller cukup responsif, pengiriman normal",neutral
"Packing standar, barang sampai dengan aman",neutral
"Tidak ada masalah dengan produk ini",neutral
"Barang berfungsi normal seperti biasa",neutral
"Kualitas sesuai harga, tidak lebih tidak kurang",neutral
"Pengiriman sesuai estimasi waktu",neutral
"Barang oke, tapi ada sedikit kekurangan",neutral
"Cukup puas tapi masih bisa lebih baik",neutral
"Produk standar, tidak ada yang istimewa",neutral
"Pelayanan biasa saja, tidak ada yang spesial",neutral
"Barang sampai dan berfungsi dengan baik",neutral
